anchor_step,anchor_tokens_B,stable_dolma3_ppl,anneal_dolma3_ppl,Δ_dolma3,stable_mixture_ppl,anneal_mixture_ppl,Δ_mixture
10000,20.97,6.6115,5.6355,-0.976,4.058,3.8884,-0.1696
20000,41.94,5.9834,5.3127,-0.6707,3.7436,3.6196,-0.124
30000,62.91,5.71,5.1582,-0.5518,3.6022,3.4992,-0.103
40000,83.89,5.5543,5.0629,-0.4915,3.5193,3.4262,-0.0931
50000,104.86,5.4469,4.9957,-0.4512,3.4634,3.377,-0.0864
60000,125.83,5.3752,4.9465,-0.4287,3.4233,3.3398,-0.0835
70000,146.8,5.3129,4.9051,-0.4078,3.3905,3.3101,-0.0803
80000,167.77,5.2637,4.8707,-0.3929,3.3644,3.287,-0.0774
90000,188.74,5.2274,4.843,-0.3844,3.3434,3.267,-0.0763
95368,200.0,5.2087,4.8292,-0.3795,3.3334,3.2579,-0.0755
