pretrain_step,pretrain_tokens_B,train_ce_loss,heldout_dolma3_loss,heldout_mixture_loss
5000,10.48,1.4292,,
10000,20.97,1.3179,1.8888,1.4007
15000,31.45,1.2686,,
20000,41.94,1.2362,1.789,1.32
25000,52.42,1.211,,
30000,62.91,1.2074,1.7422,1.2816
35000,73.39,1.1878,,
40000,83.88,1.1804,1.7146,1.2583
45000,94.36,1.1646,,
50000,104.85,1.1666,1.695,1.2423
60000,125.82,1.148,1.6818,1.2306
70000,146.79,1.1416,1.6701,1.221
80000,167.76,1.1311,1.6608,1.2132
90000,188.73,1.1328,1.6539,1.207
95368,199.99,1.1304,1.6503,1.204
