pretrain_step,rl_step,n_rollouts,resp_len_mean,resp_len_median,resp_len_p95,resp_len_max,trunc_rate
5000,50,1024,538.0,466,1171,3625,0.0049
5000,100,1024,428.4,392,808,3637,0.001
5000,150,1024,350.8,302,713,2423,0.0
5000,200,1024,353.5,305,700,1249,0.0
5000,250,1024,338.1,277,702,3584,0.0039
5000,300,1024,266.0,223,586,1275,0.0
5000,350,1024,265.7,199,637,3584,0.002
5000,400,1024,257.0,198,592,3584,0.001
5000,450,1024,265.8,207,607,3583,0.0
5000,500,1024,285.9,199,703,3585,0.0049
5000,550,1024,221.6,174,517,3583,0.0
5000,600,1024,293.1,213,643,3585,0.0059
5000,650,1024,272.4,182,629,3584,0.0059
5000,700,1024,310.5,214,732,3584,0.0068
5000,750,1024,299.5,197,649,3584,0.0098
5000,800,1024,257.7,179,618,3584,0.0029
5000,850,1024,294.9,205,688,3584,0.0068
5000,900,1024,316.7,211,744,3595,0.0088
5000,950,1024,320.7,205,815,3585,0.0078
5000,1000,1024,323.4,175,828,3585,0.0215
5000,1050,1024,355.3,212,909,3587,0.0166
5000,1100,1024,419.9,228,1248,3585,0.0244
5000,1150,1024,394.6,211,936,3585,0.0322
5000,1200,1024,379.9,192,1128,3586,0.0283
5000,1250,1024,410.7,191,1646,3797,0.0361
5000,1300,1024,465.7,206,3582,3593,0.0449
5000,1350,1024,523.7,215,3584,3647,0.0625
5000,1400,1024,589.1,230,3584,3586,0.0684
5000,1450,1024,610.0,214,3584,3658,0.0771
5000,1500,1024,530.4,190,3584,3585,0.0684
5000,1550,1024,657.4,243,3584,3591,0.0898
5000,1600,1024,639.0,226,3584,3611,0.0781
5000,1650,1024,629.8,196,3584,3637,0.0889
5000,1700,1024,637.2,208,3584,3728,0.0947
5000,1750,1024,684.9,195,3584,3587,0.1025
5000,1800,1024,569.2,176,3584,3587,0.0811
5000,1850,1024,865.1,227,3584,3610,0.1387
5000,1900,1024,785.6,182,3584,3590,0.1328
5000,1950,1024,825.8,178,3584,3917,0.1367
5000,2000,1024,679.8,158,3584,3595,0.1152
5000,2050,1024,1021.6,240,3584,3634,0.1865
5000,2100,1024,956.7,215,3584,3754,0.1826
5000,2150,1024,1101.0,225,3584,3658,0.2021
5000,2200,1024,893.2,154,3584,3589,0.1748
5000,2250,1024,969.6,182,3584,3588,0.1895
5000,2300,1024,1028.1,211,3584,3701,0.1982
5000,2350,1024,1182.4,227,3584,3782,0.2334
5000,2400,1024,1001.7,201,3584,3670,0.1826
5000,2450,1024,963.6,185,3584,3594,0.1826
5000,2500,1024,1022.5,226,3584,3732,0.2041
5000,2550,1024,1000.3,187,3584,3654,0.1943
5000,2600,1024,1121.3,186,3584,3603,0.2344
5000,2650,1024,834.8,154,3584,3670,0.165
5000,2700,1024,1122.0,199,3584,3656,0.2285
5000,2750,1024,1022.4,170,3584,3677,0.2119
5000,2800,1024,1157.1,213,3584,3850,0.248
5000,2850,1024,1154.5,208,3584,3666,0.2451
5000,2900,1024,1217.4,201,3584,3630,0.2607
5000,2950,1024,900.3,166,3584,3761,0.1855
5000,3000,1024,1037.2,182,3584,3652,0.2148
10000,50,1024,559.5,467,1298,3627,0.002
10000,100,1024,485.8,419,1006,3614,0.0039
10000,150,1024,383.1,324,791,1936,0.0
10000,200,1024,343.0,307,693,3573,0.0
10000,250,1024,329.9,283,688,3584,0.001
10000,300,1024,305.6,241,691,3324,0.0
10000,350,1024,308.5,238,680,3582,0.0
10000,400,1024,335.7,269,734,2385,0.0
10000,450,1024,316.4,237,709,3585,0.001
10000,500,1024,311.6,231,736,3584,0.001
10000,550,1024,294.7,219,640,3591,0.002
10000,600,1024,286.6,221,655,3584,0.002
10000,650,1024,304.7,199,726,3681,0.0088
10000,700,1024,336.9,210,767,3620,0.0098
10000,750,1024,369.2,236,864,3644,0.0166
10000,800,1024,299.1,192,732,3585,0.0068
10000,850,1024,345.5,221,783,3645,0.0127
10000,900,1024,386.9,247,1007,3721,0.0166
10000,950,1024,431.7,227,1194,3843,0.0332
10000,1000,1024,347.2,190,910,3677,0.0156
10000,1050,1024,382.7,224,956,3609,0.0244
10000,1100,1024,489.6,246,2597,3675,0.04
10000,1150,1024,401.2,216,1035,3598,0.0273
10000,1200,1024,433.3,221,1403,3743,0.0283
10000,1250,1024,528.4,249,3434,3695,0.043
10000,1300,1024,523.2,237,3583,3657,0.0498
10000,1350,1024,557.8,262,3583,3847,0.0498
10000,1400,1024,623.0,247,3584,3826,0.0693
10000,1450,1024,701.8,230,3585,3750,0.1045
10000,1500,1024,636.9,227,3584,3840,0.0791
10000,1550,1024,823.1,316,3585,3932,0.1104
10000,1600,1024,695.7,234,3584,3723,0.0869
10000,1650,1024,752.4,219,3585,3837,0.1084
10000,1700,1024,940.6,297,3585,3772,0.1416
10000,1750,1024,775.9,215,3585,3866,0.125
10000,1800,1024,843.5,251,3585,3777,0.1191
10000,1850,1024,1042.5,306,3585,3775,0.1719
10000,1900,1024,833.5,214,3585,3735,0.1279
10000,1950,1024,1047.1,235,3586,3853,0.1914
10000,2000,1024,925.6,213,3585,3794,0.1641
10000,2050,1024,967.7,240,3586,3764,0.1709
10000,2100,1024,1117.9,223,3592,3970,0.2158
10000,2150,1024,1000.3,231,3585,3899,0.1924
10000,2200,1024,909.3,186,3587,3859,0.1738
10000,2250,1024,1115.9,210,3589,3892,0.2285
10000,2300,1024,1132.7,241,3585,3951,0.2236
10000,2350,1024,1012.7,208,3585,3832,0.1904
10000,2400,1024,1113.1,259,3587,3876,0.2148
10000,2450,1024,1183.2,233,3586,3792,0.2432
10000,2500,1024,1402.1,303,3589,3755,0.29
10000,2550,1024,1105.4,231,3588,3856,0.2266
10000,2600,1024,1191.8,231,3588,3778,0.2383
10000,2650,1024,1096.2,207,3589,3803,0.2188
10000,2700,1024,1249.3,264,3589,3838,0.249
10000,2750,1024,1236.8,244,3587,3860,0.252
